[Head]
Converter = SampleTxtConverter
Version = 1
[Item]
SampleID = Exp343.2
TestDate = 2025-06-03
Operator = 
Length = 85
Width = 20
Thickness = 0.117
So = 2.34
Lo = 100
Fm = 20.87
Rm = 8.91880341
Bf(kN/mm) = 1.0435
Fb = -0.21
Rb = -0.0897435
Fy = /
Ry = 
E(GPa) = -0.0864629
Slope = -2.023233
[Curve]
[Specimen0]
Time	Load	Extension	Displacement
0.900	0.13	-0.0340	-0.0300
0.920	0.13	-0.0350	-0.0400
0.940	0.14	-0.0370	-0.0400
0.960	0.15	-0.0380	-0.0400
0.980	0.16	-0.0400	-0.0400
1.000	0.16	-0.0410	-0.0400
1.020	0.17	-0.0430	-0.0400
1.040	0.18	-0.0440	-0.0400
1.060	0.19	-0.0460	-0.0500
1.080	0.20	-0.0470	-0.0500
1.100	0.20	-0.0490	-0.0500
1.120	0.21	-0.0500	-0.0500
1.140	0.22	-0.0520	-0.0500
1.160	0.22	-0.0550	-0.0500
1.180	0.23	-0.0560	-0.0600
1.200	0.23	-0.0580	-0.0600
1.220	0.25	-0.0590	-0.0600
1.240	0.26	-0.0610	-0.0600
1.260	0.27	-0.0630	-0.0600
1.280	0.27	-0.0640	-0.0600
1.300	0.28	-0.0660	-0.0700
1.320	0.28	-0.0670	-0.0700
1.340	0.30	-0.0690	-0.0700
1.360	0.30	-0.0700	-0.0700
1.380	0.31	-0.0720	-0.0700
1.400	0.32	-0.0750	-0.0700
1.420	0.33	-0.0760	-0.0800
1.440	0.34	-0.0780	-0.0800
1.460	0.34	-0.0790	-0.0800
1.480	0.35	-0.0810	-0.0800
1.500	0.36	-0.0820	-0.0800
1.520	0.37	-0.0840	-0.0800
1.540	0.37	-0.0850	-0.0900
1.560	0.38	-0.0870	-0.0900
1.580	0.39	-0.0880	-0.0900
1.600	0.40	-0.0910	-0.0900
1.620	0.40	-0.0930	-0.0900
1.640	0.41	-0.0950	-0.0900
1.660	0.42	-0.0960	-0.1000
1.680	0.43	-0.0980	-0.1000
1.700	0.44	-0.0990	-0.1000
1.720	0.45	-0.1010	-0.1000
1.740	0.45	-0.1020	-0.1000
1.760	0.46	-0.1040	-0.1000
1.780	0.46	-0.1050	-0.1100
1.800	0.47	-0.1070	-0.1100
1.820	0.48	-0.1100	-0.1100
1.840	0.48	-0.1110	-0.1100
1.860	0.50	-0.1130	-0.1100
1.880	0.50	-0.1140	-0.1100
1.900	0.51	-0.1160	-0.1200
1.920	0.52	-0.1170	-0.1200
1.940	0.52	-0.1190	-0.1200
1.960	0.53	-0.1200	-0.1200
1.980	0.54	-0.1220	-0.1200
2.000	0.55	-0.1250	-0.1300
2.020	0.56	-0.1270	-0.1300
2.040	0.56	-0.1280	-0.1300
2.060	0.57	-0.1300	-0.1300
2.080	0.58	-0.1310	-0.1300
2.100	0.59	-0.1330	-0.1300
2.120	0.59	-0.1340	-0.1300
2.140	0.60	-0.1360	-0.1400
2.160	0.61	-0.1370	-0.1400
2.180	0.62	-0.1390	-0.1400
2.200	0.63	-0.1400	-0.1400
2.220	0.63	-0.1430	-0.1400
2.240	0.64	-0.1450	-0.1400
2.260	0.65	-0.1460	-0.1500
2.280	0.65	-0.1480	-0.1500
2.300	0.66	-0.1490	-0.1500
2.320	0.67	-0.1510	-0.1500
2.340	0.67	-0.1520	-0.1500
2.360	0.69	-0.1540	-0.1500
2.380	0.69	-0.1550	-0.1600
2.400	0.69	-0.1570	-0.1600
2.420	0.71	-0.1590	-0.1600
2.440	0.72	-0.1620	-0.1600
2.460	0.72	-0.1630	-0.1600
2.480	0.73	-0.1650	-0.1600
2.500	0.74	-0.1660	-0.1700
2.520	0.74	-0.1680	-0.1700
2.540	0.75	-0.1690	-0.1700
2.560	0.76	-0.1710	-0.1700
2.580	0.77	-0.1720	-0.1700
2.600	0.77	-0.1740	-0.1700
2.620	0.78	-0.1750	-0.1800
2.640	0.79	-0.1770	-0.1800
2.660	0.80	-0.1800	-0.1800
2.680	0.80	-0.1810	-0.1800
2.700	0.81	-0.1830	-0.1800
2.720	0.82	-0.1840	-0.1800
2.740	0.83	-0.1860	-0.1900
2.760	0.83	-0.1880	-0.1900
2.780	0.84	-0.1890	-0.1900
2.800	0.85	-0.1910	-0.1900
2.820	0.85	-0.1920	-0.1900
2.840	0.86	-0.1940	-0.1900
2.860	0.87	-0.1970	-0.2000
2.880	0.88	-0.1980	-0.2000
2.900	0.89	-0.2000	-0.2000
2.920	0.89	-0.2010	-0.2000
2.940	0.89	-0.2030	-0.2000
2.960	0.91	-0.2040	-0.2000
2.980	0.91	-0.2060	-0.2100
3.000	0.92	-0.2070	-0.2100
3.020	0.93	-0.2090	-0.2100
3.040	0.94	-0.2100	-0.2100
3.060	0.95	-0.2120	-0.2100
3.080	0.95	-0.2150	-0.2100
3.100	0.96	-0.2160	-0.2200
3.120	0.96	-0.2180	-0.2200
3.140	0.97	-0.2200	-0.2200
3.160	0.98	-0.2210	-0.2200
3.180	0.99	-0.2230	-0.2200
3.200	0.99	-0.2240	-0.2200
3.220	1.00	-0.2260	-0.2300
3.240	1.01	-0.2270	-0.2300
3.260	1.02	-0.2290	-0.2300
3.280	1.02	-0.2300	-0.2300
3.300	1.03	-0.2330	-0.2300
3.320	1.04	-0.2350	-0.2300
3.340	1.04	-0.2360	-0.2400
3.360	1.05	-0.2380	-0.2400
3.380	1.06	-0.2390	-0.2400
3.400	1.07	-0.2410	-0.2400
3.420	1.07	-0.2420	-0.2400
3.440	1.08	-0.2440	-0.2400
3.460	1.09	-0.2450	-0.2500
3.480	1.09	-0.2470	-0.2500
3.500	1.10	-0.2500	-0.2500
3.520	1.11	-0.2520	-0.2500
3.540	1.11	-0.2530	-0.2500
3.560	1.13	-0.2550	-0.2500
3.580	1.13	-0.2560	-0.2600
3.600	1.14	-0.2580	-0.2600
3.620	1.15	-0.2590	-0.2600
3.640	1.15	-0.2610	-0.2600
3.660	1.16	-0.2620	-0.2600
3.680	1.16	-0.2640	-0.2600
3.700	1.18	-0.2650	-0.2700
3.720	1.18	-0.2680	-0.2700
3.740	1.19	-0.2700	-0.2700
3.760	1.20	-0.2710	-0.2700
3.780	1.21	-0.2730	-0.2700
3.800	1.21	-0.2740	-0.2700
3.820	1.22	-0.2760	-0.2800
3.840	1.23	-0.2770	-0.2800
3.860	1.23	-0.2790	-0.2800
3.880	1.24	-0.2800	-0.2800
3.900	1.25	-0.2820	-0.2800
3.920	1.25	-0.2850	-0.2900
3.940	1.26	-0.2870	-0.2900
3.960	1.27	-0.2880	-0.2900
3.980	1.28	-0.2900	-0.2900
4.000	1.28	-0.2910	-0.2900
4.020	1.29	-0.2930	-0.2900
4.040	1.30	-0.2940	-0.2900
4.060	1.30	-0.2960	-0.3000
4.080	1.31	-0.2970	-0.3000
4.100	1.31	-0.2990	-0.3000
4.120	1.32	-0.3000	-0.3000
4.140	1.33	-0.3030	-0.3000
4.160	1.34	-0.3050	-0.3000
4.180	1.34	-0.3060	-0.3100
4.200	1.35	-0.3080	-0.3100
4.220	1.36	-0.3090	-0.3100
4.240	1.36	-0.3110	-0.3100
4.260	1.37	-0.3130	-0.3100
4.280	1.38	-0.3140	-0.3100
4.300	1.39	-0.3160	-0.3200
4.320	1.39	-0.3190	-0.3200
4.340	1.40	-0.3200	-0.3200
4.360	1.41	-0.3220	-0.3200
4.380	1.41	-0.3230	-0.3200
4.400	1.42	-0.3250	-0.3200
4.420	1.43	-0.3260	-0.3300
4.440	1.43	-0.3280	-0.3300
4.460	1.43	-0.3290	-0.3300
4.480	1.45	-0.3310	-0.3300
4.500	1.45	-0.3320	-0.3300
4.520	1.46	-0.3340	-0.3300
4.540	1.47	-0.3350	-0.3400
4.560	1.47	-0.3380	-0.3400
4.580	1.48	-0.3400	-0.3400
4.600	1.48	-0.3410	-0.3400
4.620	1.49	-0.3430	-0.3400
4.640	1.49	-0.3450	-0.3400
4.660	1.51	-0.3460	-0.3500
4.680	1.51	-0.3480	-0.3500
4.700	1.52	-0.3490	-0.3500
4.720	1.53	-0.3510	-0.3500
4.740	1.53	-0.3520	-0.3500
4.760	1.54	-0.3550	-0.3600
4.780	1.55	-0.3570	-0.3600
4.800	1.55	-0.3580	-0.3600
4.820	1.56	-0.3600	-0.3600
4.840	1.57	-0.3610	-0.3600
4.860	1.57	-0.3630	-0.3600
4.880	1.57	-0.3640	-0.3600
4.900	1.59	-0.3660	-0.3700
4.920	1.59	-0.3670	-0.3700
4.940	1.60	-0.3690	-0.3700
4.960	1.60	-0.3700	-0.3700
4.980	1.61	-0.3720	-0.3700
5.000	1.62	-0.3750	-0.3800
5.020	1.62	-0.3770	-0.3800
5.040	1.62	-0.3780	-0.3800
5.060	1.64	-0.3800	-0.3800
5.080	1.65	-0.3810	-0.3800
5.100	1.65	-0.3830	-0.3800
5.120	1.66	-0.3840	-0.3800
5.140	1.67	-0.3860	-0.3900
5.160	1.67	-0.3870	-0.3900
5.180	1.68	-0.3900	-0.3900
5.200	1.69	-0.3920	-0.3900
5.220	1.70	-0.3930	-0.3900
5.240	1.70	-0.3950	-0.3900
5.260	1.71	-0.3960	-0.4000
5.280	1.71	-0.3980	-0.4000
5.300	1.72	-0.3990	-0.4000
5.320	1.73	-0.4010	-0.4000
5.340	1.73	-0.4020	-0.4000
5.360	1.74	-0.4040	-0.4000
5.380	1.75	-0.4050	-0.4100
5.400	1.75	-0.4070	-0.4100
5.420	1.75	-0.4100	-0.4100
5.440	1.76	-0.4120	-0.4100
5.460	1.77	-0.4130	-0.4100
5.480	1.77	-0.4150	-0.4100
5.500	1.78	-0.4160	-0.4200
5.520	1.78	-0.4180	-0.4200
5.540	1.80	-0.4190	-0.4200
5.560	1.80	-0.4210	-0.4200
5.580	1.81	-0.4220	-0.4200
5.600	1.81	-0.4250	-0.4300
5.620	1.81	-0.4270	-0.4300
5.640	1.83	-0.4280	-0.4300
5.660	1.83	-0.4300	-0.4300
5.680	1.84	-0.4310	-0.4300
5.700	1.85	-0.4330	-0.4300
5.720	1.85	-0.4340	-0.4300
5.740	1.86	-0.4360	-0.4400
5.760	1.87	-0.4380	-0.4400
5.780	1.87	-0.4390	-0.4400
5.800	1.88	-0.4410	-0.4400
5.820	1.88	-0.4420	-0.4400
5.840	1.89	-0.4450	-0.4500
5.860	1.90	-0.4470	-0.4500
5.880	1.90	-0.4480	-0.4500
5.900	1.91	-0.4500	-0.4500
5.920	1.91	-0.4510	-0.4500
5.940	1.92	-0.4530	-0.4500
5.960	1.93	-0.4540	-0.4500
5.980	1.93	-0.4560	-0.4600
6.000	1.94	-0.4570	-0.4600
6.020	1.94	-0.4600	-0.4600
6.040	1.95	-0.4620	-0.4600
6.060	1.96	-0.4630	-0.4600
6.080	1.96	-0.4650	-0.4600
6.100	1.97	-0.4660	-0.4700
6.120	1.97	-0.4680	-0.4700
6.140	1.98	-0.4700	-0.4700
6.160	1.99	-0.4710	-0.4700
6.180	2.00	-0.4730	-0.4700
6.200	2.00	-0.4740	-0.4700
6.220	2.00	-0.4760	-0.4800
6.240	2.01	-0.4770	-0.4800
6.260	2.02	-0.4800	-0.4800
6.280	2.03	-0.4820	-0.4800
6.300	2.03	-0.4830	-0.4800
6.320	2.04	-0.4850	-0.4800
6.340	2.04	-0.4860	-0.4900
6.360	2.05	-0.4880	-0.4900
6.380	2.06	-0.4890	-0.4900
6.400	2.06	-0.4910	-0.4900
6.420	2.07	-0.4920	-0.4900
6.440	2.07	-0.4940	-0.4900
6.460	2.08	-0.4970	-0.5000
6.480	2.09	-0.4980	-0.5000
6.500	2.09	-0.5000	-0.5000
6.520	2.10	-0.5020	-0.5000
6.540	2.11	-0.5030	-0.5000
6.560	2.11	-0.5050	-0.5000
6.580	2.12	-0.5060	-0.5100
6.600	2.12	-0.5080	-0.5100
6.620	2.13	-0.5090	-0.5100
6.640	2.13	-0.5110	-0.5100
6.660	2.14	-0.5120	-0.5100
6.680	2.15	-0.5140	-0.5100
6.700	2.15	-0.5170	-0.5200
6.720	2.16	-0.5180	-0.5200
6.740	2.17	-0.5200	-0.5200
6.760	2.17	-0.5210	-0.5200
6.780	2.18	-0.5230	-0.5200
6.800	2.18	-0.5240	-0.5200
6.820	2.18	-0.5260	-0.5300
6.840	2.19	-0.5270	-0.5300
6.860	2.20	-0.5290	-0.5300
6.880	2.21	-0.5300	-0.5300
6.900	2.21	-0.5340	-0.5300
6.920	2.22	-0.5350	-0.5400
6.940	2.22	-0.5370	-0.5400
6.960	2.23	-0.5380	-0.5400
6.980	2.23	-0.5400	-0.5400
7.000	2.24	-0.5410	-0.5400
7.020	2.25	-0.5430	-0.5400
7.040	2.26	-0.5440	-0.5400
7.060	2.26	-0.5460	-0.5500
7.080	2.26	-0.5470	-0.5500
7.100	2.27	-0.5490	-0.5500
7.120	2.27	-0.5520	-0.5500
7.140	2.28	-0.5530	-0.5500
7.160	2.29	-0.5550	-0.5500
7.180	2.30	-0.5560	-0.5600
7.200	2.30	-0.5580	-0.5600
7.220	2.31	-0.5590	-0.5600
7.240	2.31	-0.5610	-0.5600
7.260	2.31	-0.5630	-0.5600
7.280	2.33	-0.5640	-0.5600
7.300	2.33	-0.5660	-0.5700
7.320	2.34	-0.5670	-0.5700
7.340	2.34	-0.5700	-0.5700
7.360	2.34	-0.5720	-0.5700
7.380	2.35	-0.5730	-0.5700
7.400	2.36	-0.5750	-0.5700
7.420	2.36	-0.5760	-0.5800
7.440	2.37	-0.5780	-0.5800
7.460	2.38	-0.5790	-0.5800
7.480	2.38	-0.5810	-0.5800
7.500	2.39	-0.5820	-0.5800
7.520	2.39	-0.5840	-0.5800
7.540	2.40	-0.5870	-0.5900
7.560	2.41	-0.5880	-0.5900
7.580	2.41	-0.5900	-0.5900
7.600	2.41	-0.5910	-0.5900
7.620	2.42	-0.5930	-0.5900
7.640	2.43	-0.5950	-0.5900
7.660	2.43	-0.5960	-0.6000
7.680	2.44	-0.5980	-0.6000
7.700	2.44	-0.5990	-0.6000
7.720	2.44	-0.6010	-0.6000
7.740	2.45	-0.6020	-0.6000
7.760	2.46	-0.6050	-0.6100
7.780	2.46	-0.6070	-0.6100
7.800	2.47	-0.6080	-0.6100
7.820	2.47	-0.6100	-0.6100
7.840	2.48	-0.6110	-0.6100
7.860	2.49	-0.6130	-0.6100
7.880	2.49	-0.6140	-0.6100
7.900	2.50	-0.6160	-0.6200
7.920	2.51	-0.6170	-0.6200
7.940	2.51	-0.6200	-0.6200
7.960	2.52	-0.6220	-0.6200
7.980	2.52	-0.6230	-0.6200
8.000	2.52	-0.6250	-0.6300
8.020	2.53	-0.6270	-0.6300
8.040	2.53	-0.6280	-0.6300
8.060	2.55	-0.6300	-0.6300
8.080	2.55	-0.6310	-0.6300
8.100	2.56	-0.6330	-0.6300
8.120	2.56	-0.6340	-0.6300
8.140	2.56	-0.6360	-0.6400
8.160	2.57	-0.6370	-0.6400
8.180	2.57	-0.6390	-0.6400
8.200	2.58	-0.6420	-0.6400
8.220	2.58	-0.6430	-0.6400
8.240	2.59	-0.6450	-0.6400
8.260	2.60	-0.6460	-0.6500
8.280	2.60	-0.6480	-0.6500
8.300	2.60	-0.6490	-0.6500
8.320	2.62	-0.6510	-0.6500
8.340	2.62	-0.6520	-0.6500
8.360	2.62	-0.6540	-0.6500
8.380	2.63	-0.6570	-0.6600
8.400	2.63	-0.6590	-0.6600
8.420	2.64	-0.6600	-0.6600
8.440	2.64	-0.6620	-0.6600
8.460	2.66	-0.6630	-0.6600
8.480	2.66	-0.6650	-0.6600
8.500	2.66	-0.6660	-0.6700
8.520	2.67	-0.6680	-0.6700
8.540	2.68	-0.6690	-0.6700
8.560	2.68	-0.6710	-0.6700
8.580	2.69	-0.6720	-0.6700
8.600	2.69	-0.6740	-0.6700
8.620	2.70	-0.6750	-0.6800
8.640	2.70	-0.6780	-0.6800
8.660	2.71	-0.6800	-0.6800
8.680	2.71	-0.6810	-0.6800
8.700	2.71	-0.6830	-0.6800
8.720	2.73	-0.6840	-0.6800
8.740	2.73	-0.6860	-0.6900
8.760	2.73	-0.6880	-0.6900
8.780	2.73	-0.6890	-0.6900
8.800	2.74	-0.6910	-0.6900
8.820	2.75	-0.6940	-0.6900
8.840	2.76	-0.6950	-0.7000
8.860	2.76	-0.6970	-0.7000
8.880	2.77	-0.6980	-0.7000
8.900	2.78	-0.7000	-0.7000
8.920	2.78	-0.7010	-0.7000
8.940	2.78	-0.7030	-0.7000
8.960	2.78	-0.7040	-0.7000
8.980	2.79	-0.7060	-0.7100
9.000	2.80	-0.7070	-0.7100
9.020	2.80	-0.7090	-0.7100
9.040	2.81	-0.7120	-0.7100
9.060	2.81	-0.7130	-0.7100
9.080	2.82	-0.7150	-0.7100
9.100	2.82	-0.7160	-0.7200
9.120	2.83	-0.7180	-0.7200
9.140	2.83	-0.7200	-0.7200
9.160	2.84	-0.7210	-0.7200
9.180	2.84	-0.7230	-0.7200
9.200	2.85	-0.7240	-0.7200
9.220	2.86	-0.7260	-0.7300
9.240	2.86	-0.7290	-0.7300
9.260	2.87	-0.7300	-0.7300
9.280	2.87	-0.7320	-0.7300
9.300	2.88	-0.7330	-0.7300
9.320	2.88	-0.7350	-0.7300
9.340	2.88	-0.7360	-0.7400
9.360	2.89	-0.7380	-0.7400
9.380	2.89	-0.7390	-0.7400
9.400	2.90	-0.7410	-0.7400
9.420	2.90	-0.7420	-0.7400
9.440	2.91	-0.7440	-0.7400
9.460	2.92	-0.7470	-0.7500
9.480	2.92	-0.7480	-0.7500
9.500	2.92	-0.7500	-0.7500
9.520	2.93	-0.7520	-0.7500
9.540	2.94	-0.7530	-0.7500
9.560	2.94	-0.7550	-0.7500
9.580	2.95	-0.7560	-0.7600
9.600	2.95	-0.7580	-0.7600
9.620	2.96	-0.7590	-0.7600
9.640	2.96	-0.7610	-0.7600
9.660	2.96	-0.7620	-0.7600
9.680	2.97	-0.7650	-0.7700
9.700	2.97	-0.7670	-0.7700
9.720	2.98	-0.7680	-0.7700
9.740	2.98	-0.7700	-0.7700
9.760	2.99	-0.7710	-0.7700
9.780	3.00	-0.7730	-0.7700
9.800	3.00	-0.7740	-0.7700
9.820	3.01	-0.7760	-0.7800
9.840	3.01	-0.7770	-0.7800
9.860	3.01	-0.7790	-0.7800
9.880	3.01	-0.7820	-0.7800
9.900	3.03	-0.7840	-0.7800
9.920	3.03	-0.7850	-0.7900
9.940	3.04	-0.7870	-0.7900
9.960	3.04	-0.7880	-0.7900
9.980	3.04	-0.7900	-0.7900
10.000	3.05	-0.7910	-0.7900
10.020	3.06	-0.7930	-0.7900
10.040	3.07	-0.7940	-0.7900
10.060	3.07	-0.7960	-0.8000
10.080	3.07	-0.7970	-0.8000
10.100	3.07	-0.7990	-0.8000
10.120	3.08	-0.8020	-0.8000
10.140	3.08	-0.8030	-0.8000
10.160	3.09	-0.8050	-0.8000
10.180	3.10	-0.8060	-0.8100
10.200	3.10	-0.8080	-0.8100
10.220	3.11	-0.8090	-0.8100
10.240	3.11	-0.8110	-0.8100
10.260	3.11	-0.8130	-0.8100
10.280	3.12	-0.8140	-0.8100
10.300	3.12	-0.8160	-0.8200
10.320	3.13	-0.8190	-0.8200
10.340	3.13	-0.8200	-0.8200
10.360	3.14	-0.8220	-0.8200
10.380	3.15	-0.8230	-0.8200
10.400	3.15	-0.8250	-0.8200
10.420	3.15	-0.8260	-0.8300
10.440	3.15	-0.8280	-0.8300
10.460	3.17	-0.8290	-0.8300
10.480	3.17	-0.8310	-0.8300
10.500	3.18	-0.8320	-0.8300
10.520	3.18	-0.8340	-0.8300
10.540	3.18	-0.8350	-0.8400
10.560	3.18	-0.8380	-0.8400
10.580	3.18	-0.8400	-0.8400
10.600	3.20	-0.8410	-0.8400
10.620	3.20	-0.8430	-0.8400
10.640	3.20	-0.8450	-0.8400
10.660	3.21	-0.8460	-0.8500
10.680	3.22	-0.8480	-0.8500
10.700	3.22	-0.8490	-0.8500
10.720	3.23	-0.8510	-0.8500
10.740	3.23	-0.8520	-0.8500
10.760	3.24	-0.8550	-0.8600
10.780	3.24	-0.8570	-0.8600
10.800	3.25	-0.8580	-0.8600
10.820	3.25	-0.8600	-0.8600
10.840	3.25	-0.8610	-0.8600
10.860	3.26	-0.8630	-0.8600
10.880	3.26	-0.8640	-0.8600
10.900	3.27	-0.8660	-0.8700
10.920	3.27	-0.8670	-0.8700
10.940	3.27	-0.8690	-0.8700
10.960	3.28	-0.8720	-0.8700
10.980	3.28	-0.8730	-0.8700
11.000	3.29	-0.8750	-0.8800
11.020	3.29	-0.8770	-0.8800
11.040	3.30	-0.8780	-0.8800
11.060	3.30	-0.8800	-0.8800
11.080	3.31	-0.8810	-0.8800
11.100	3.31	-0.8830	-0.8800
11.120	3.32	-0.8840	-0.8800
11.140	3.32	-0.8860	-0.8900
11.160	3.33	-0.8870	-0.8900
11.180	3.33	-0.8900	-0.8900
11.200	3.34	-0.8920	-0.8900
11.220	3.34	-0.8930	-0.8900
11.240	3.35	-0.8950	-0.8900
11.260	3.35	-0.8960	-0.9000
11.280	3.35	-0.8980	-0.9000
11.300	3.35	-0.8990	-0.9000
11.320	3.36	-0.9010	-0.9000
11.340	3.36	-0.9020	-0.9000
11.360	3.37	-0.9040	-0.9000
11.380	3.38	-0.9070	-0.9100
11.400	3.38	-0.9090	-0.9100
11.420	3.39	-0.9100	-0.9100
11.440	3.39	-0.9120	-0.9100
11.460	3.40	-0.9130	-0.9100
11.480	3.40	-0.9150	-0.9100
11.500	3.40	-0.9160	-0.9200
11.520	3.40	-0.9180	-0.9200
11.540	3.41	-0.9190	-0.9200
11.560	3.41	-0.9210	-0.9200
11.580	3.42	-0.9220	-0.9200
11.600	3.43	-0.9250	-0.9300
11.620	3.43	-0.9270	-0.9300
11.640	3.44	-0.9280	-0.9300
11.660	3.44	-0.9300	-0.9300
11.680	3.44	-0.9310	-0.9300
11.700	3.45	-0.9330	-0.9300
11.720	3.45	-0.9340	-0.9300
11.740	3.46	-0.9360	-0.9400
11.760	3.46	-0.9380	-0.9400
11.780	3.47	-0.9390	-0.9400
11.800	3.47	-0.9420	-0.9400
11.820	3.47	-0.9440	-0.9400
11.840	3.48	-0.9450	-0.9500
11.860	3.48	-0.9470	-0.9500
11.880	3.48	-0.9480	-0.9500
11.900	3.49	-0.9500	-0.9500
11.920	3.49	-0.9510	-0.9500
11.940	3.50	-0.9530	-0.9500
11.960	3.50	-0.9540	-0.9500
11.980	3.51	-0.9560	-0.9600
12.000	3.51	-0.9570	-0.9600
12.020	3.52	-0.9590	-0.9600
12.040	3.52	-0.9620	-0.9600
12.060	3.52	-0.9630	-0.9600
12.080	3.53	-0.9650	-0.9600
12.100	3.53	-0.9660	-0.9700
12.120	3.54	-0.9680	-0.9700
12.140	3.54	-0.9700	-0.9700
12.160	3.55	-0.9710	-0.9700
12.180	3.55	-0.9730	-0.9700
12.200	3.55	-0.9740	-0.9700
12.220	3.56	-0.9760	-0.9800
12.240	3.56	-0.9770	-0.9800
12.260	3.57	-0.9800	-0.9800
12.280	3.57	-0.9820	-0.9800
12.300	3.58	-0.9830	-0.9800
12.320	3.58	-0.9850	-0.9800
12.340	3.59	-0.9860	-0.9900
12.360	3.59	-0.9880	-0.9900
12.380	3.59	-0.9890	-0.9900
12.400	3.60	-0.9910	-0.9900
12.420	3.60	-0.9920	-0.9900
12.440	3.61	-0.9940	-0.9900
12.460	3.61	-0.9970	-1.0000
12.480	3.62	-0.9980	-1.0000
12.500	3.62	-1.0000	-1.0000
12.520	3.63	-1.0020	-1.0000
12.540	3.63	-1.0030	-1.0000
12.560	3.64	-1.0050	-1.0000
12.580	3.64	-1.0060	-1.0100
12.600	3.64	-1.0080	-1.0100
12.620	3.64	-1.0090	-1.0100
12.640	3.65	-1.0110	-1.0100
12.660	3.66	-1.0120	-1.0100
12.680	3.66	-1.0150	-1.0200
12.700	3.66	-1.0170	-1.0200
12.720	3.66	-1.0180	-1.0200
12.740	3.67	-1.0200	-1.0200
12.760	3.67	-1.0210	-1.0200
12.780	3.68	-1.0230	-1.0200
12.800	3.68	-1.0240	-1.0200
12.820	3.69	-1.0260	-1.0300
12.840	3.69	-1.0270	-1.0300
12.860	3.70	-1.0290	-1.0300
12.880	3.70	-1.0320	-1.0300
12.900	3.70	-1.0340	-1.0300
12.920	3.70	-1.0350	-1.0400
12.940	3.71	-1.0370	-1.0400
12.960	3.72	-1.0380	-1.0400
12.980	3.72	-1.0400	-1.0400
13.000	3.73	-1.0410	-1.0400
13.020	3.73	-1.0430	-1.0400
13.040	3.74	-1.0440	-1.0400
13.060	3.74	-1.0460	-1.0500
13.080	3.75	-1.0470	-1.0500
13.100	3.75	-1.0500	-1.0500
13.120	3.75	-1.0520	-1.0500
13.140	3.75	-1.0530	-1.0500
13.160	3.76	-1.0550	-1.0500
13.180	3.76	-1.0560	-1.0600
13.200	3.76	-1.0580	-1.0600
13.220	3.77	-1.0590	-1.0600
13.240	3.77	-1.0610	-1.0600
13.260	3.78	-1.0630	-1.0600
13.280	3.78	-1.0640	-1.0600
13.300	3.79	-1.0660	-1.0700
13.320	3.79	-1.0690	-1.0700
13.340	3.80	-1.0700	-1.0700
13.360	3.80	-1.0720	-1.0700
13.380	3.81	-1.0730	-1.0700
13.400	3.81	-1.0750	-1.0700
13.420	3.81	-1.0760	-1.0800
13.440	3.81	-1.0780	-1.0800
13.460	3.82	-1.0790	-1.0800
13.480	3.82	-1.0810	-1.0800
13.500	3.82	-1.0820	-1.0800
13.520	3.83	-1.0850	-1.0900
13.540	3.83	-1.0870	-1.0900
13.560	3.84	-1.0880	-1.0900
